City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
111,Airai,TL,77.34,broken clouds,-8.9266,125.4092,Juvinal Martin
112,Keti Bandar,PK,84.02,clear sky,24.1447,67.4497,Haji laloo memon house
114,Port Augusta,AU,82.54,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
117,Meulaboh,ID,84.7,overcast clouds,4.1363,96.1285,Kost Pria
126,Isangel,VU,77.05,broken clouds,-19.55,169.2667,Tanna Lodge
127,Fare,PF,79.11,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
129,Le Port,RE,78.89,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
137,Kawalu,ID,82.83,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
139,Dong Hoi,VN,80.29,overcast clouds,17.4833,106.6,Nam Long Hotel
143,Alice Springs,AU,85.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
144,Hithadhoo,MV,82.96,overcast clouds,-0.6,73.0833,Scoop Guest House
145,Hwange,ZW,82.31,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
148,Champerico,GT,81.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
152,Murray Bridge,AU,85.42,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
153,Nabire,ID,83.8,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
155,Puerto El Triunfo,SV,77.16,broken clouds,13.2833,-88.55,Hotel Jardin
157,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
159,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
160,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
161,Mahibadhoo,MV,83.61,broken clouds,3.7833,72.9667,Omadhoo Inn
169,Bengkulu,ID,83.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
174,Kirakira,SB,85.08,broken clouds,-10.4544,161.9205,SanBiz Lodge
177,Sorong,ID,84.04,light rain,-0.8833,131.25,waigo splash hotel
188,Daru,PG,82.45,overcast clouds,-9.0763,143.2092,Daru Lodge
190,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
198,Coahuayana,MX,75.02,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
199,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
201,Padang,ID,86.05,light rain,-0.9492,100.3543,Mercure Padang
203,Faanui,PF,79.23,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
205,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
212,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
214,Tual,ID,84.34,light rain,-5.6667,132.75,Grand Vilia Hotel
221,Port Blair,IN,84.56,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
222,Bima,ID,87.49,moderate rain,-8.4667,118.7167,Lambitu Hotel
225,Dicabisagan,PH,84.16,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
226,Manavalakurichi,IN,78.89,moderate rain,8.1333,77.3,Udaya Boys Hostel
227,Kant,IN,75.52,clear sky,27.8,79.8,Haseeb Khan shatreng
229,Shima,CN,80.62,scattered clouds,24.4478,117.8111,龙海钻石大酒店
231,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
235,Victoria,HK,82.45,scattered clouds,22.2855,114.1577,Mini Hotel Central
246,Sayhat,SA,80.58,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
247,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Ciudad Bolivar,VE,76.75,overcast clouds,8.1222,-63.5497,Hotel Edi
252,Kieta,PG,81.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
253,Luganville,VU,80.51,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
254,Bintulu,MY,88.21,scattered clouds,3.1667,113.0333,900 Boutique INN
258,Long Xuyen,VN,85.95,broken clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
267,Galle,LK,81,overcast clouds,6.0367,80.217,Amangalla
268,Grand Baie,MU,79.45,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
275,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
278,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
280,Banda Aceh,ID,84.45,broken clouds,5.5577,95.3222,Sulthan Hotel International
284,Kavieng,PG,85.41,broken clouds,-2.5744,150.7967,Nusa Island Retreat
293,Anloga,GH,79.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
296,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
299,Biratnagar,NP,78.78,clear sky,26.4831,87.2834,HOTEL SHUVA
301,Sao Joao Do Piaui,BR,77.5,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
302,Mana,GF,77.76,scattered clouds,5.6592,-53.7767,LE SAMANA
304,Jaisalmer,IN,84.2,clear sky,26.9147,70.9181,Hotel Fifu
309,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
310,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
317,Lazaro Cardenas,MX,77.9,overcast clouds,17.9583,-102.2,quinta antigua
321,Jaque,PA,76.32,light rain,7.5175,-78.1703,Aventuras Jaque S.A
324,Cockburn Town,TC,81.79,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
329,Dingle,PH,84.61,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
330,Wahiawa,US,77.32,few clouds,21.5028,-158.0236,Aloha Wahiawa
337,Bandarbeyla,SO,80.56,broken clouds,9.4942,50.8122,JABIR HOTEL
338,Corrientes,AR,76.96,clear sky,-27.4806,-58.8341,Gran Hotel Guaraní
358,San Policarpo,PH,82.78,broken clouds,12.1791,125.5072,Agapita M. Nicart
362,Pringsewu,ID,85.95,overcast clouds,-5.3582,104.9744,Urban Style by Front One
369,Tomohon,ID,81.54,broken clouds,1.3346,124.8392,Gardenia Country Inn
370,Amnat Charoen,TH,89.38,broken clouds,15.9167,104.75,หอพักนักศึกษา
379,Port Pirie,AU,82.49,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
381,Jibuti,DJ,78.24,broken clouds,11.5,42.5,Orchid Main Camp Goubet
387,Tutoia,BR,78.42,overcast clouds,-2.7619,-42.2744,Pousada Guará's
390,Oriximina,BR,75.15,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
395,Limon,CR,75.54,overcast clouds,10,-83.0333,Hotel Playa Bonita
